Tissue.num,tissue.number.check,perc.east.buzz,PC1,PC2,Species,Tissue.Types,Country.Continent.Ocean,State.Province,Population,Preparator.No.,Voucher.No.,Sex,Song.Type,Latitude,Longitude,plate,western.qvalue,pops,eastern.qvalue
B02461,B02461,0.99,-14.07453151,0.313277922,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,556,NONE,M,EASTERN,50.912843,-106.132121,2,1e-05,4,0.99999
B02464,B02464,NA,-6.868264779,2.605878835,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,559,NONE,M,EASTERN,50.912843,-106.132121,2,0.262417,4,0.737583
B02478,B02478,0.52,-15.05791418,-1.439336367,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,573,NONE,M,MIXED,50.571533,-105.387841,2,1e-05,5,0.99999
B02546,B02546,NA,-15.02583718,-1.902220241,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,631,NONE,M,EASTERN,50.571533,-105.387841,2,1e-05,5,0.99999
B02569,B02569,NA,-1.848433467,-0.16384539,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,654,NONE,M,EASTERN,50.912843,-106.132121,2,0.455518,4,0.544482
B02578,B02578,0.27,-14.30482486,0.519875339,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,663,NONE,M,MIXED,50.912843,-106.132121,2,0.010385,4,0.989615
B02588,B02588,1,-13.93416285,-1.82921667,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,673,NONE,M,EASTERN,50.912843,-106.132121,2,1e-05,4,0.99999
B02594,B02594,NA,-7.718100421,3.460483034,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,679,NONE,M,WESTERN,50.571533,-105.387841,2,0.256819,5,0.743181
B02609,B02609,NA,-3.833340157,0.261906055,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,694,NONE,M,MIXED,50.912843,-106.132121,2,0.413663,4,0.586337
B02620,B02620,NA,-0.2504904,2.023636626,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,705,NONE,M,EASTERN,50.912843,-106.132121,2,0.578493,4,0.421507
25372,25372,NA,13.98345892,-0.75582847,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2,0.99999,1,9.99999999995449e-06
25374,25374,NA,14.01326795,-0.658270987,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2,0.99999,1,9.99999999995449e-06
25375,25375,NA,14.7528794,-0.551991962,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2,0.99999,1,9.99999999995449e-06
25376,25376,NA,13.35631834,-0.899544453,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.114,-98.568,2,0.99999,1,9.99999999995449e-06
25377,25377,NA,14.10921244,-0.882134778,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,f,unclear,42.114,-98.568,2,0.99999,1,9.99999999995449e-06
25379,25379,0,11.88251463,-1.653833884,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2,0.99999,1,9.99999999995449e-06
25380,25380,0,13.90494076,-0.21167233,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2,0.99999,1,9.99999999995449e-06
25381,25381,0,13.3984045,0.343819826,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2,0.99999,1,9.99999999995449e-06
25382,25382,0,14.41190971,-0.639546037,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2,0.99999,1,9.99999999995449e-06
25383,25383,0,13.92260479,0.910141535,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2,0.99999,1,9.99999999995449e-06
