Tissue.num,tissue.number.check,perc.east.buzz,PC1,PC2,Species,Tissue.Types,Country.Continent.Ocean,State.Province,Population,Preparator.No.,Voucher.No.,Sex,Song.Type,Latitude,Longitude,plate,western.qvalue,pops,eastern.qvalue
B02361,B02361,NA,11.87289726,-1.250209151,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,284,NONE,M,WESTERN,50.912843,-106.132121,2,0.99999,4,9.99999999995449e-06
B02363,B02363,NA,10.85705056,0.131524869,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,286,NONE,M,WESTERN,50.912843,-106.132121,2,0.96754,4,0.03246
B02364,B02364,1,-13.18933702,1.413722409,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,287,NONE,M,EASTERN,50.571533,-105.387841,2,1e-05,5,0.99999
B02366,B02366,1,-12.75985997,0.815870835,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,289,NONE,M,EASTERN,50.571533,-105.387841,2,1e-05,5,0.99999
B02367,B02367,0,9.166074975,1.749571013,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,290,NONE,M,WESTERN,50.571533,-105.387841,2,0.8866,5,0.1134
B02368,B02368,NA,-15.31622798,-0.295176462,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,291,NONE,M,EASTERN,50.571533,-105.387841,2,1e-05,5,0.99999
B02371,B02371,0.32,-10.22646954,1.598078551,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,294,NONE,M,MIXED,50.571533,-105.387841,2,1e-05,5,0.99999
B02372,B02372,1,-14.67536666,-1.853792024,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,295,NONE,M,EASTERN,50.571533,-105.387841,2,1e-05,5,0.99999
B02373,B02373,0.97,-12.67170335,0.567574673,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,296,NONE,M,MIXED,50.571533,-105.387841,2,1e-05,5,0.99999
B02374,B02374,NA,10.24802983,-0.873040283,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,297,NONE,M,WESTERN,50.571533,-105.387841,2,0.965816,5,0.034184
