Tissue.num,Species,Tissue.type,Country,State,Population,Preparator.num,Voucher.num,Sex,Song Type,Latitude,Longitude,plate
B02390,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,184,NONE,M,WESTERN,50.571533,-105.387841,2
B02391,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,185,NONE,M,EASTERN,50.571533,-105.387841,2
B02392,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,186,NONE,M,WESTERN,50.571533,-105.387841,2
B02393,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,187,NONE,M,WESTERN,50.571533,-105.387841,2
B02394,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,188,NONE,M,EASTERN,50.571533,-105.387841,2
B02395,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,189,NONE,M,MIXED,50.571533,-105.387841,2
B02397,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,192,NONE,M,WESTERN,50.912843,-106.132121,2
B02438,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,533,NONE,M,MIXED,50.571533,-105.387841,2
B02439,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,534,NONE,M,WESTERN,50.912843,-106.132121,2
B02440,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,535,NONE,M,EASTERN,50.912843,-106.132121,2
B02441,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,536,NONE,M,EASTERN,50.912843,-106.132121,2
B02449,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,544,NONE,M,WESTERN,50.912843,-106.132121,2
B02456,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,551,NONE,M,WESTERN,50.912843,-106.132121,2
B02458,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,553,NONE,M,EASTERN,50.912843,-106.132121,2
B02459,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,554,NONE,M,EASTERN,50.912843,-106.132121,2
B02460,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,555,NONE,M,EASTERN,50.912843,-106.132121,2
B02461,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,556,NONE,M,EASTERN,50.912843,-106.132121,2
B02464,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,559,NONE,M,EASTERN,50.912843,-106.132121,2
B02478,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,573,NONE,M,MIXED,50.571533,-105.387841,2
B02546,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,631,NONE,M,EASTERN,50.571533,-105.387841,2
B02569,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,654,NONE,M,EASTERN,50.912843,-106.132121,2
B02578,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,663,NONE,M,MIXED,50.912843,-106.132121,2
B02588,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,673,NONE,M,EASTERN,50.912843,-106.132121,2
B02594,PALUSTRIS,BL,CANADA,SASKATCHEWAN,NICOLLE FLATS,679,NONE,M,WESTERN,50.571533,-105.387841,2
B02609,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,694,NONE,M,MIXED,50.912843,-106.132121,2
B02620,PALUSTRIS,BL,CANADA,SASKATCHEWAN,EYEBROW LAKE,705,NONE,M,EASTERN,50.912843,-106.132121,2
B03553,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03554,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03555,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
